ABS20CT30IES3,"ABS PGA 2-0 AG3/8 COR3,0-70CM",,,36
ABS30CT19IES3,"ABS PGA 3-0 AG3/8 COR1,9-70CM",133030E,J123H,36
ABS30CT24IES3,"ABS PGA 3-0 AG3/8 COR2,4-70CM",,,36
ABS30CT24IS3,"ABS PGA 3-0 AG3/8 COR2,4-45CM",143030,,36
ABS30CT30IS3,"ABS PGA 3-0 AG3/8 COR3,0-45CM",,,36
ABS40CT19IES3,"ABS PGA 4-0 AG3/8 COR1,9-70CM",133040E,J122H,36
ABS40CT24IS3,"ABS PGA 4-0 AG3/8 COR2,4-45CM",,,36
ABS40MT16IS3,"ABS PGA 4-0 AG1/2 COR1,6-45CM",,,36
ABS50CT19IES3,"ABS PGA 5-0 AG3/8 COR1,9-70CM",133050E,J121H,36
ABS50MT16IS3,"ABS PGA 5-0 AG1/2 COR1,6-45CM",,,36
ABS60MT16IS3,"ABS PGA 6-0 AG1/2 COR1,6-45CM",,,36
PGLA0CR30G,"PGLA-910 0 AG3/8 CIL3,0-70CM",158000,J408H,36
PGLA0MR26G,"PGLA-910 0 AG1/2 CIL2,6-70CM",248000,J318H,36
PGLA0MR30G,"PGLA-910 0 AG1/2 CIL3,0-70CM",,,36
PGLA0MR35G,"PGLA-910 0 AG1/2 CIL3,5-70CM",868000,J324H,36
PGLA20CR30G,"PGLA-910 2-0 AG3/8 CIL3,0-70CM",158020,J407H,36
PGLA20MR26G,"PGLA-910 2-0 AG1/2 CIL2,6-70CM",248020,XYJ317H,36
PGLA20MR30G,"PGLA-910 2-0 AG1/2 CIL3,0-70CM",258020MT,J135H,36
PGLA20MR35G,"PGLA-910 2-0 AG1/2 CIL3,5-70CM",868020,XYJ323H,36
PGLA30CR30G,"PGLA-910 3-0 AG3/8 CIL3,0-70CM",158030,J406H,36
PGLA30MR20G,"PGLA-910 3-0 AG1/2 CIL2,0-70CM",838030,XYJ311H,36
PGLA30MR26G,"PGLA-910 3-0 AG1/2 CIL2,6-70CM",248030,XYJ316H,36
PGLA30MR30G,"PGLA-910 3-0 AG1/2 CIL3,0-70CM",258030MT,,36
PGLA30MR35G,"PGLA-910 3-0 AG1/2 CIL3,5-70CM",868030,XYJ322H,36
PGLA40MR20G,"PGLA-910 4-0 AG1/2 CIL2,0-70CM",838040,XYJ310H,36
PGLA40MR25G,"PGLA-910 4-0 AG1/2 CIL2,5-70CM",248040,XYJ315H,36
PGLA40MR30G,"PGLA-910 4-0 AG1/2 CIL3,0-70CM",,,36
PGLA50MR25G,"PGLA-910 5-0 AG1/2 CIL2,5-70CM",248050,J314H,36
PGLA0CT30S3,"PGLA-910 0 AG3/8 COR3,0-70CM",458000,J187H,36
PGLA20CT30S3,"PGLA-910 2-0 AG3/8 COR3,0-70CM",458020,J186H,36
PGLA30MT20S3,"PGLA-910 3-0 AG1/2 COR2,0-70CM",538030,J160H,36
PGLA50MT16AP,"PGLA-910 5-0 AG1/2 COR1,6-45CM",,,12
PGLA0MR25R,"PGLA-910 0 AG1/2 CIL2,5-70CM",848000,XYJ334H,36
PGLA0MR37R,"PGLA-910 0 AG1/2 CIL3,7-70CM",268000,XYJ340H,36
PGLA0MR40L,"PGLA-910 0 AG1/2 CIL4,0-1,5M-L",878000,JL352H,36
PGLA0MR40R,"PGLA-910 0 AG1/2 CIL4,0-70CM",278000,XYJ352H,36
PGLA0MR48ER,"PGLA-910 0 AG1/2 CIL4,8-90CM",288000,XYJ370H,36
